Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,27,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
4,0.316099209,27,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
8,4.041057141,22,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
1,0.357939913,27,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
56,0.647089625,5,RUS,Russian Federation,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
71,5.191950429,22,PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
237,12.571973887,27,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2012 12:00:00 AM
3,0.167708978,5,LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2013 12:00:00 AM
6,1.244227304,22,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
1,0.365090086,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
14,0.724338123,22,FRA,France,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
2,1.426197828,27,NZL,New Zealand,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
3,1.268523080,27,BGR,Bulgaria,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
3,0.811345861,5,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
3,2.438707160,27,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
2,0.598030685,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
1,0.455902802,5,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
11,1.699428297,27,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
3,0.186798746,27,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,22,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,22,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2013 12:00:00 AM
2,0.512175697,5,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
65,1.951391440,27,TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,22,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
17,1.445177612,22,CAN,Canada,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2012 12:00:00 AM
0,0,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
2,10.255358425,22,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
3,0.885857288,27,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
7,2.232125063,22,SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
13,1.106681547,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
5,0.326495537,5,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
42,1.769745940,22,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
22,3.302559484,27,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2012 12:00:00 AM
1,0.794066733,22,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
22,0.678492064,5,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
52,10.120177103,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
65,16.911955061,27,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
29,0.748520865,5,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2011 12:00:00 AM
0,0,22,GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
3,1.514841661,22,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
4,3.166648854,22,MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
7,0.450692763,22,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,5,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
3,0.370387289,22,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
3,18.798170311,27,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.370862794,27,SGP,Singapore,Asia,South-eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
2,0.585472381,22,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
9,0.774232177,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,5,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
54,2.275387638,22,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
2,0.679077948,22,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0.795180723,0.297191607,22,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
22,1.715921411,27,CAN,Canada,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
9,0.584195942,5,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
1,2.474849344,22,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
2,0.605302144,22,BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
8,0.674406606,22,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,22,VAT,Holy See,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
14,0.942526422,5,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
0,0,5,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
1,4.249713144,5,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.408020874,22,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
0,0,22,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
1,0.326896202,5,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
2,2.948656518,27,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
0,0,5,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
14,1.703190989,27,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
1,0.700574471,22,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
3,1.015788743,5,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
3,5.115700084,27,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
3,1.178733294,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
1,0.308993408,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
30,1.736145774,27,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
49,3.245293166,27,UZB,Uzbekistan,Asia,Central Asia,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
20,1.720515948,22,CAN,Canada,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
2,10.434873347,22,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
1,0.184528231,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
3.786259542,1.107205125,27,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2010 12:00:00 AM
18,0.277306101,5,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
17,1.004198139,27,ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
0,0,27,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,27,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
5,0.913665049,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
38,5.157490067,27,KAZ,Kazakhstan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
0,0,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2012 12:00:00 AM
9,1.809283433,22,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
2,6.731740155,27,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
10,6.107187243,27,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
8,0.357963857,5,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
2,0.999335442,27,SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,22,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
1,0.593637394,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
8,0.640716064,27,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,22,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
6,0.595843988,5,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
2,1.355215547,27,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,5,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
3,1.805227940,22,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
2,0.735106287,27,SGP,Singapore,Asia,South-eastern Asia,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,27,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
3,1.134367751,5,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
1,5.364662965,27,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
12,4.419775549,22,SWE,Sweden,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2010 12:00:00 AM
3,0.253728756,5,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
10,0.832857563,5,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
16,0.882750341,27,DZA,Algeria,Africa,Northern Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
5,2.341651661,27,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2011 12:00:00 AM
4,0.732726209,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
2,1.092857358,27,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2013 12:00:00 AM
13,0.860996146,27,UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,5,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
23,1.048184590,22,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.071874605,27,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,22,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
